component_name,price,currency,store,url,scraped_at
Cooler Gamemax Sigma 550 Infinity Black,549.00,MDL,darwin.md,https://darwin.md/cooler-gamemax-sigma-550-infinity-hydro-bearing-1800-rpm-black.html,2026-06-12 22:02:15
Cooler Xilence LiQuRizer 360 PRO Black,1999.00,MDL,darwin.md,https://darwin.md/cooler-xilence-liqurizer-360-pro-hidrodinamic-2100-rpm-black.html,2026-06-12 22:02:15
Cooler Xilence Performance C Series I402 Black,279.00,MDL,darwin.md,https://darwin.md/cooler-xilence-performance-c-series-i402-black.html,2026-06-12 22:02:15
Cooler Xilence XC029 M403PRO Black,399.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc029-m403pro-black.html,2026-06-12 22:02:15
Cooler Xilence XC033 Performance C Series A200 Black,119.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc033-performance-c-series-a200-hidrodinamic-2800-rpm-black.html,2026-06-12 22:02:15
Cooler Xilence XC044 M504D Black,729.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc044-m504d-black.html,2026-06-12 22:02:15
Cooler Xilence XC051 (M704) Black,529.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc051-m704-black.html,2026-06-12 22:02:15
Cooler Xilence XC056 M704PRO.ARGB Black,699.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc056-m704proargb-black.html,2026-06-12 22:02:15
Cooler Xilence XC081 M906 Black,899.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc081-m906-black.html,2026-06-12 22:02:15
Cooler Xilence XC129 M403PRO.ARGB Black,499.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc129-m403proargb-black.html,2026-06-12 22:02:15
Cooler Xilence XC229 M403PRO.W.ARGB White,589.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc229-m403prowargb-white.html,2026-06-12 22:02:15
Cooler Xilence XC232 Performance C Series I350PWM Black,199.00,MDL,darwin.md,https://darwin.md/cooler-xilence-xc232-performance-c-series-i350pwm-hidrodinamic-2200-rpm-black.html,2026-06-12 22:02:15
Cooler cu lichid 1STPLAYER MT 360 Infinite Space Black,1419.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-1stplayer-mt-360-infinite-space-hydro-bearing-1800-rpm-black-argb.html,2026-06-12 22:02:15
Cooler cu lichid Gamemax IceBurg 240 Infinity Black,1199.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-gamemax-iceburg-240-infinity-hidrodinamic-2000-rpm-black-argb.html,2026-06-12 22:02:15
Cooler cu lichid MSI MAG CoreLiquid E240 White,2469.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-msi-mag-coreliquid-e240-fluid-dynamic-bearing-2200-rpm-white-argb.html,2026-06-12 22:02:15
Cooler cu lichid NZXT Kraken 280 RGB White,3799.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-nzxt-kraken-280-rgb-hydro-bearing-1800-rpm-white.html,2026-06-12 22:02:15
Cooler cu lichid NZXT Kraken Elite 240 Black,5199.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-nzxt-kraken-elite-240-hidrodinamic-1800-rpm-black-nu.html,2026-06-12 22:02:15
Cooler cu lichid Xilence LQ240 ARGB LED Black,1279.00,MDL,darwin.md,https://darwin.md/ventilator-de-carcasa-xilence-lq240-argb-led-black.html,2026-06-12 22:02:15
Cooler cu lichid Xilence LiQuRizer 240 Black,1079.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-xilence-liqurizer-240-black.html,2026-06-12 22:02:15
Cooler cu lichid Xilence LiQuRizer 240 PRO Black,1369.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-xilence-liqurizer-240-pro-black.html,2026-06-12 22:02:15
Cooler cu lichid Xilence LiQuRizer 360 Black,1399.00,MDL,darwin.md,https://darwin.md/cooler-cu-lichid-xilence-liqurizer-360-black.html,2026-06-12 22:02:15
"Dispozitiv de stocare SSD Transcend 830S M.2 512 GB Viteza de citire: 560 MB/ s, Viteza de inscriere: 520 MB/ s",4149.00,MDL,darwin.md,https://darwin.md/transcend-ts512gmts830s-m-2-ssd-512gb.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Apacer 01003651 SO-DIMM, DDR4, 3200 MHz",3569.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-apacer-01003651.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Apacer ES.16G21.GSH DIMM, DDR4, 3200 MHz",3569.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-ddr4-3200-mhz-apacer-es16g21gsh.html,2026-06-12 22:02:15
"Memorie RAM 16 GB Kingston FURY Beast KF432C16BB1/ 16 DIMM, DDR4, 3200 MHz",3699.00,MDL,darwin.md,https://darwin.md/memorie-ram-16-gb-ddr4-3200-mhz-kingston-fury-beast-kf432c16bb116.html,2026-06-12 22:02:15
